name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,price_bin,price_per_day,is_premium,price_log
"Romantic, stylish B&B houseboat in canal district",97647,Centrum-West,52.38761,4.89188,Private Room,132.0,3,302,2025-06-11,1.85,1,53,28,21.0,$101 -200,2.4444444444444446,False,4.890349128221754
Comfortable double room,124245,Centrum-West,52.36775,4.89092,Private Room,78.0,2,710,2025-06-16,3.93,2,130,93,16.0,$51-100,0.5954198473282443,False,4.3694478524670215
Comfortable single / double room,124245,Centrum-Oost,52.36584,4.89111,Private Room,70.0,2,822,2025-06-14,4.74,2,121,86,18.0,$51-100,0.5737704918032787,False,4.2626798770413155
Quiet 2-bedroom Amsterdam city centre apartment,194779,Centrum-Oost,52.37168,4.91471,Entire Home,223.0,3,42,2022-08-20,0.23,1,0,0,1047.0,$201-500,223.0,False,5.4116460518550396
Charming apartment in old centre,211696,De Baarsjes - Oud-West,52.36786,4.87458,Entire Home,120.0,2,203,2025-05-29,1.13,1,66,5,34.0,$101 -200,1.791044776119403,False,4.795790545596741
Cozy family home in Amsterdam South,220434,Buitenveldert - Zuidas,52.32780776,4.876800057,Entire Home,223.0,3,5,2024-04-28,0.21,1,0,0,430.0,$201-500,223.0,False,5.4116460518550396
Multatuli Luxury Guest Suite in top location,225987,Centrum-West,52.38028,4.89089,Entire Home,284.0,3,599,2025-06-13,3.36,1,216,56,19.0,$201-500,1.3087557603686637,False,5.652489180268651
Central de Lux 2 bedrooms (4p) apt 125 sqm,230246,Centrum-Oost,52.37118,4.93146,Entire Home,457.0,3,173,2025-05-26,0.97,1,338,10,37.0,$201-500,1.3480825958702065,True,6.126869184114185
"Family Home (No drugs, smoking or parties)",231864,Bos en Lommer,52.37559,4.83857,Entire Home,198.0,7,18,2025-02-19,0.13,1,191,4,133.0,$101 -200,1.03125,False,5.293304824724492
B & B de 9 Straatjes (city center),231946,Centrum-West,52.36811,4.88262,Entire Home,139.0,2,543,2025-05-31,3.09,1,213,75,32.0,$101 -200,0.6495327102803738,False,4.941642422609304
Amsterdam Stylish Lakeview Apartment,252245,IJburg - Zeeburgereiland,52.35559,5.0032,Entire Home,223.0,1,12,2024-05-25,0.15,1,0,0,403.0,$201-500,223.0,False,5.4116460518550396
Bright Loft in Centre Amsterdam,263233,Centrum-Oost,52.358112,4.897637,Entire Home,223.0,11,69,2025-05-13,0.39,1,0,1,50.0,$201-500,223.0,False,5.4116460518550396
Apartment near Museumplein (centre),264178,Zuid,52.35597,4.88512,Entire Home,223.0,3,96,2023-08-07,0.55,1,0,0,695.0,$201-500,223.0,False,5.4116460518550396
"Charming, beautifully & sunny place",301340,Oud-Oost,52.36431,4.93122,Entire Home,200.0,30,38,2024-03-31,0.22,1,83,0,458.0,$101 -200,2.380952380952381,False,5.303304908059076
TOP LOCATED Canalhouse B&B Jordaan,436145,Centrum-West,52.37828,4.8944,Private Room,223.0,3,241,2022-12-31,1.39,4,0,0,914.0,$201-500,223.0,False,5.4116460518550396
"Privat room and shared Houseboat ""Ramona"" centre",494281,De Pijp - Rivierenbuurt,52.35774,4.89647,Private Room,223.0,1,297,2025-06-08,1.76,1,77,68,24.0,$201-500,2.858974358974359,False,5.4116460518550396
Beautiful and spacious room,195859,Slotervaart,52.34801,4.83639,Private Room,59.0,2,405,2025-05-31,2.39,2,298,53,32.0,$51-100,0.19732441471571907,False,4.0943445622221
Charming Historic House with Garden in De Pijp,670266,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire Home,407.0,2,111,2025-06-08,0.68,1,62,6,24.0,$201-500,6.4603174603174605,True,6.0112671744041615
Apartment 2 minutes from Centrum!,748161,Oud-Oost,52.3642,4.92829,Entire Home,223.0,3,21,2019-08-20,0.13,1,0,0,2143.0,$201-500,223.0,False,5.4116460518550396
