id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38761,4.89188,Private room,132,3,302,6/11/2025,1.85,1,53,28,0363 974D 4986 7411 88D8
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36775,4.89092,Private room,78,2,710,6/16/2025,3.93,2,130,93,0363 607B EA74 0BD8 2F6F
29051,Comfortable single / double room,124245,Edwin,,Centrum-Oost,52.36584,4.89111,Private room,70,2,822,6/14/2025,4.74,2,121,86,0363 607B EA74 0BD8 2F6F
44391,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,,Centrum-Oost,52.37168,4.91471,Entire home/apt,,3,42,8/20/2022,0.23,1,0,0,0363 E76E F06A C1DD 172C
47061,Charming apartment in old centre,211696,Ivar,,De Baarsjes - Oud-West,52.36786,4.87458,Entire home/apt,120,2,203,5/29/2025,1.13,1,66,5,0363 1266 8C04 4133 E6AC
48373,Cozy family home in Amsterdam South,220434,Vesna & Misha,,Buitenveldert - Zuidas,52.32780776,4.876800057,Entire home/apt,,3,5,4/28/2024,0.21,1,0,0,0363 4A2B A6AD 0196 F684
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,,Centrum-West,52.38028,4.89089,Entire home/apt,284,3,599,6/13/2025,3.36,1,216,56,0363 576A D827 5085 6B83
50263,Central de Lux 2 bedrooms (4p) apt 125 sqm,230246,Donald,,Centrum-Oost,52.37118,4.93146,Entire home/apt,457,3,173,5/26/2025,0.97,1,338,10,0363 7F3D 0BAE 28C8 C7D2
50515,"Family Home (No drugs, smoking or parties)",231864,Karin,,Bos en Lommer,52.37559,4.83857,Entire home/apt,198,7,18,2/19/2025,0.13,1,191,4,0363 5DDB E495 A6D5 CEC6
50523,B & B de 9 Straatjes (city center),231946,Raymond,,Centrum-West,52.36811,4.88262,Entire home/apt,139,2,543,5/31/2025,3.09,1,213,75,0363 22DC 0E52 B70B 0FB8
53921,Amsterdam Stylish Lakeview Apartment,252245,Ingrid,,IJburg - Zeeburgereiland,52.35559,5.0032,Entire home/apt,,1,12,5/25/2024,0.15,1,0,0,0363 B43C B1D4 2666 3739
55709,Bright Loft in Centre Amsterdam,263233,Jan-Willem,,Centrum-Oost,52.358112,4.897637,Entire home/apt,,11,69,5/13/2025,0.39,1,0,1,0363 E295 7D15 8420 343E
55868,Apartment near Museumplein (centre),264178,Cornelie,,Zuid,52.35597,4.88512,Entire home/apt,,3,96,8/7/2023,0.55,1,0,0,0363 B5A3 5F63 B032 A320
62015,"Charming, beautifully & sunny place",301340,Jessica,,Oud-Oost,52.36431,4.93122,Entire home/apt,200,30,38,3/31/2024,0.22,1,83,0,0363 B090 499C D757 7F4F
